tortured_phrase,expected_phrase,num_papers
"""neuro-fluffy""",neuro-fuzzy,112
"""disarray lattice""",confusion matrix,111
"""commotion levels""",noise levels,111
"""result exactness""",classification accuracy,111
"""K-mean bunching""",K-means clustering,111
"""far-flung sensing""",remote sensing,111
"""disarray grid""",confusion matrix,111
"""mobileular""",Search and replace of cell -> mobile,111
"""misfortune capacity""",loss function,111
"""major factor analysis""",principal composent analysis (PCA),111
"""prescient exactness""",predicted accuracy,111
"""monetary presentation""",financial reporting,111
"""likelihood appropriation""",probability distribution,110
"""renal disappointment""",renal or kidney failure,110
"""vitality necessities""",energy requirements,110
"""numerous quantum mechanical""",all quantum mechanical [computations],110
"""wellspring of energy"" AND ""source of energy""",source of energy,110
"""ascorbic corrosive""",ascorbic acid,110
"""expanded creation""",increased production,109
"""savvy urban community""",smart city,109
"""Prandtl quantity""",Prandtl number,109
"""picture highlights"" AND ""image features""",picture features,109
"""nature of administration (QoS)""",quality of service (QoS),109
"""impedance coordinating""",impedance matching,109
"""ok-means"" AND ""K-means""",K-means,109
"""stomach torment""",stomach pain,108
"""grouping and relapse""",classification and regression,108
"""Parkinson's ailment""",Parkinson's disease,108
"""arrangement model"" AND ""classification model""",classification model,108
"""wellbeing intentions""",health plans,107
"""face affirmation""",face recognition,107
"""initiation possibility""",initiation probability,107
"""dimensionality discount""",dimensionality reduction,107
"""far off sensing""",remote sensing,106
"""types of hydrolysis products""",products of hydrolysis,106
"""data robbery""",data theft,106
"""condition of-workmanship""",state-of-the-art,106
"""leave out charge""",miss rate,106
"""pernicious hub""",malicious node,106
"""vitality framework"" AND ""energy system""",energy system,106
"""HTTP demands""",HTTP requests,105
"""surface plasmon reverberation""",surface plasmon resonance,105
"""removing highlights"" NOT specular",extracting features,105
"""SQL infusion""",SQL injection (SQLi),105
"""haze processing""",cloud computing,105
"""rubbing coefficient""",friction coefficient,105
"""choice timber""",decision tree,105
"""switch interpretation""",reverse transcriptase,104
"""overlap increment""",fold change,104
"""histogram evening out""",histogram equalization,104
"""Hamming separation""",Hamming distance,104
"""homogeneity of difference""",homogeneity of variance,104
"""wavelet transition""",wavelet transform,104
"""attractive resonance""",magnetic resonance,104
"""exactness and review""",precision and recall,104
"""noxious hub""",compromised node,103
"""sign to commotion""",signal to noise,103
"""information stockroom""",data warehouse,103
"""autocorrelation work""",autocorrelation function (ACF),103
"""profound brain network""",deep neural network,103
"""distinguishing proof framework""",identification system,103
"""sunlight-based vitality""",solar energy,103
"""restorative records""",medical records,103
"""Cease Result""",Final Output,102
"""switch mastering""",transfer learning,102
"""prepared information"" AND ""training data""",training data,101
"""registered tomography""",computed tomography,101
"""epoxy pitch""",epoxy group (ring?),101
"""touchy facts""",sensitive data,101
"""coronary sickness""",coronary artery disease,101
"""non-inexhaustible""",non-renewable,101
"""programmed acknowledgment""",automatic recognition,101
"""essential element analysis""",principal component analysis (PCA),101
"""middle of the road hub""",intermediate node,101
"""classification and relapse""",classification and regression,101
"""photo reputation""",image recognition,101
"""artificial neural system (ANN)""",artificial neural network (ANN),100
"""Reynolds quantity""",Reynolds number,100
"""sensible grid""",smart grid,100
"""enlarged reality""",augmented reality,100
"""miss fee""",miss rate,100
"""medication obstruction""",drug resistance,100
"""firefly calculation""",firefly algorithm,100
"""ozone depleting substance discharge""",greenhouse gas emissions,100
"""making marketplace""",manufacturing industry,99
"""k-close neighbor""",k-Nearest Neighbor (KNN),99
"""amplified pH""",increased pH,99
"""reproduction comes about""",simulation results,99
"""facial reputation""",face recognition,99
"""recurrent neural community""",recurrent neural network (RNN),99
"""counterfeit consciousness""",artificial intelligence,99
"""Gaussian bit""",Gaussian kernel,99
"""carbon impression"" AND ""carbon footprint""",carbon footprint,99
"""DNA fix""",DNA repair,99
"""worldwide heating""",global warming,99
"""impact heater""",blast furnace,99
"""CRISPER-associated""",CRISPR-associated,99
"""contingent likelihood""",conditional probability,99
"""creation expenses""",production costs,99
"""monetary disaster""",financial crisis,98
"""environmental eminence""",environmental quality,98
"""p-n intersection""",p-n junction,98
"""advert hoc""",ad hoc,98
"""eccentric tree""",random tree,98
"""expected effort UTAUT""~10","effort expectancy, see https://en.wikipedia.org/wiki/Unified_theory_of_acceptance_and_use_of_technology",98
"""image ordering"" AND ""image classification""",image classification,98
"""take a look at set""",test set,98
"""prescient quality""",negative/positive predicted value (NPV/PPV),98
"""outwardly disabled""",visually impaired,98
"""Human Immunodeficiency Infection (HIV)""",Human Immunodeficiency Virus (HIV),97
"""inclination supporting""",gradient boosting,97
"""metal evacuation""",Metal removal,97
"""manufactured knowledge""",artificial intelligence,97
"""post-handling"" AND ""post-processing""",post-processing,97
"""Android stage""",Android platform,97
"""peculiarity identification""",anomaly detection,97
"""switch getting to know""",transfer learning,96
"""canonical flask""",conical flask,96
"""remote sensor frameworks""",wireless sensor networks,96
"""decent contender""",suitable candidate,96
"""high ripeness""",high fertility,96
"""rest apnea""",sleep apnea,96
"""shading dimension""",color space,96
"""cross entropy work""",cross entropy function,96
"""flexibly chain""",supply chain,96
"""Just Look Once""",You Only Look Once (YOLO),95
"""fast Fourier change""",Fast Fourier Transform,95
"""highlight descriptor""",feature descriptor,95
"""social designing"" AND ""phishing""",social engineering,95
"""likelihood esteem""",likelihood value,95
"""picture taking care of""",image processing,95
"""yield misfortunes""",yield failures,95
"""tainted patients""",infected/affected patients,95
"""supposition examination""",hypothesis testing,95
"""substantial metal ions""",heavy metal ions,95
"""genome manipulating""",genome editing,95
"""highlight portrayal""",feature representation,95
"""greasy acid""",fatty acid,95
"""fully collected layer""",fully connected layer,95
"""solitary analysis""",single analysis,94
"""transfer gaining knowledge""",transfer learning,94
"""synthetic neural community""",artificial neural network,94
"""voice arrangement"" AND ""classification""",voice classification,94
"""irresistible illness""",immune diseases,94
"""foundation noise""",background noise,94
"""affectability and particularity""",sensitivity and specificity,94
"""excessively enormous""",very large,94
"""strength grid"" AND ""power grid""",power grid,93
"""emanation of carbon""",emission of carbon,93
"""misfortune rate""",failure rate,93
"""electromagnetic gem""",electromagnetic (photonic) crystal,93
"""approval precision""",accuracy,93
"""human laptops""",Human Machine Interface (HMI),93
"""discourse combination""",speech synthesis,92
"""genuine numbers"" AND ""real numbers""",real numbers,92
"""counterfeit brain organization""",artificial neural network,92
"""secret neuron""",hidden neuron,92
"""versatile stages"" AND ""mobile""",mobile platforms,92
"""ITS groupings"" AND ""ITS sequences""",ITS sequences,92
"""stowed away layers""",hidden layers,92
"""wavelet highlights""",wavelet features,92
"""Joined together states""",United States,92
"""global diary""",International Journal,91
"""bogus negative"" AND ""false negative""",false negative,91
"""far off detecting""",remote sensing,91
"""random stroll""",random walk,91
"""foundation subtraction""",background subtraction,91
"""iris acknowledgment"" AND ""iris recognition""",iris recognition,91
"""foundation commotion""",background noise,90
"""hazard the executives""",risk management,90
"""to be freelance""",independent,90
"""Gaussian dissemination""",Gaussian distribution,90
"""feed-forward organizations""",feed-forward [neural] networks,90
"""LSTM organization""",LSTM network,90
"""female transcendence""",female predominance,90
"""assessed glomerular filtration rate""",Estimated Glomerular Filtration Rate (eGFR),90
"""recognizing confirmation""",identification,90
"""remote sensor systems (WSNs)""",wireless sensor networks,90
"""mitigating the virus spread""",reducing the spread of the virus,90
"""condition of craftsmanship""",state of the art,90
"""discriminative highlight""",discriminative features,90
"""tongue processing""",language processing,90
"""word portrayals""",word representations,90
"""disavowal of administration""",Denial of service,89
"""discourse handling""",speech processing,89
"""machine taking in""",machine learning,89
"""logical growth phage""~5",logarithmic growth phase,89
"""stream conveyance""",stream flow,89
"""information robbery""",data theft,89
"""bit job""",kernel,89
"""cryptic layer""",hidden layer,89
"""Mel Frequency Spectrum Coefficient""",Mel Frequency Cepstral Coefficient (MFCC),89
"""discourse preparing""",speech processing,89
"""progression of perceptions""",sequence of observations,89
"""butterfly impact""",butterfly effect,88
"""picture splitting""",image segmentation,88
"""arbitrary timber""",random forest,88
"""switch gaining knowledge""",transfer learning,88
"""overall advancement"" AND ""average growth""",average growth,88
"""effort trust UTAUT""~10","effort expectancy, see https://en.wikipedia.org/wiki/Unified_theory_of_acceptance_and_use_of_technology",88
"""image antiquities""",image artifacts (distortions),88
"""switch-gaining knowledge""",transfer learning,88
"""troupe learning""",ensemble learning,88
"""quantum specks""",quantum dots,88
"""normal least-squares"" AND ""ordinary least squares""",ordinary least squares,88
"""tanh work""",tanh function,88
"""yield probabilities"" AND ""output probabilities""",output probabilities,87
"""solitary vector""",single vector,87
"""selection bushes""",decision trees,87
"""slope helping""",gradient boosting,87
"""speech popularity""",speech recognition,87
"""bogus up-side""",false positive,87
"""picture differentiate""",image contrast,87
"""fuzzy mixing""",fuzzy aggregation,87
"""picture handling calculation""",image processing algorithm,87
"""Joule warming""",Joule heating,86
"""Common Language Processing""",natural language processing (NLP),86
"""pre-preparation method""",preprocessing method,86
"""irresistible ailment""",contagious disease,86
"""spectral highlights""",spectral features,86
"""slope plummet""",gradient descent,86
"""discrete Fourier change""",Discrete Fourier Transform,86
"""angel classification""",angle's classification,86
"""manmade brainpower""",artificial intelligence,86
"""education facts"" AND ""training data""",training data,85
"""skinny films""",thin films,85
"""optical person""",optical character recognition (OCR),85
"""highlighting map""",feature map,85
"""protein articulation""",protein expression,85
"""covariance lattice""",covariance matrix,85
"""clever town""",smart city,85
"""internet of transportation""",Internet of Thing (IoT),85
"""transfer getting to know""",transfer learning,85
"""mist registering""",mist computing,85
"""haze figuring""",fog/mist/cloud computing,85
"""misleading up-side""",false positive,85
"""ozone depleting substance outflows""",greenhouse gas emissions,85
"""directed learning calculation""",supervised learning algorithm,85
"""wireless sensor community""",wireless sensor network,85
"""kidney disappointment""",kidney failure,85
"""ordinary minimum squares""",ordinary least squares,85
"""identity supplier""",identity provider,84
"""cross-endorsement"" AND ""classification""",cross-validation,84
"""blood ailments""",blood disease,84
"""linear relapse""",linear regression,84
"""mastering behaviors""",learning behaviors,84
"""neurodegenerative sickness""",neurodegenerative disease,84
"""man-made knowledge""",artificial intelligence,84
"""shrewd sensors""",smart sensors,84
"""transactions are unknown""",transactions are anonymous,84
"""secret Markov""",Hidden Markov Model (HMM),83
"""age of ROS""",lifetime of ROS,83
"""enthusiastic condition""",emotional state,83
"""logistic retrogression""",logistic regression,83
"""include guide"" AND ""CNN""",feature map,83
"""GB Slam""~3",GB RAM (memory),83
"""hazard administration"" AND ""risk management""",risk management,83
"""repetitive brain organization""",recurrent neural network,83
"""exactness pace""",accuracy rate,82
"""food squander""",food waste,82
"""hydrochloric corrosive""",hydrochloric acid,82
"""nasal hole""",nasal cavity,82
"""direct programming"" AND ""linear programming""",Linear Programming (LP),82
"""assistance vector machine""",support vector machine (SVM),82
"""geological locale""",geographical locations,82
"""hereditary administrator""",genetic algorithm,82
"""loss capabilities"" AND ""loss function""",loss function,82
"""atomic vitality""",nuclear energy,82
"""hippocampus decay""",hippocampal atrophy,82
"""range arrange""",area network,82
"""non-hazardous situation""",environmentally friendly?,81
"""bogus caution""",false alarm,81
"""quickening the rate""",acceleration,81
"""outlandish proposition""",extravagant claim,81
"""data blunder""",data error,81
"""water profundity""",water depth,81
"""leave-out price""",Miss rate,81
"""gated repetitive units""",gated recurrent units,81
"""well concurred""","is in accord, correlates",80
"""data and correspondence innovation (ICT)""",information and communications technology (ICT),80
"""decomposing pressure""",oxidative stress,80
"""code as a service""",software as a service,80
"""return misfortune""",return loss,80
"""model exhibition"" AND ""model performance""",model performance,80
"""arrangement strategy"" AND ""classification method""",classification method,80
"""measurable highlights""",evaluation metric ?,80
"""speaker affirmation""",speaker recognition,80
"""mist hub""",cloud hub,80
"""community latency""",network latency,80
"""center pay nations""",middle income countries,80
"""subordinate frameworks""",dependent models,80
"""extreme intense respiratory""",severe acute respiratory,80
"""fake brain organization""",artificial neural network,80
"""boundless drive""",infinite impulse response,80
"""chaotic grid""",confusion matrix,80
"""molecule swarm optimization""",particle swarm optimization (PSO),80
"""calculation intricacy""",computational complexity,80
"""tall exactness""",high accuracy,79
"""numerical highlights""",mathematical features,79
"""Hilbert change""",Hilbert transform,79
"""class unevenness""",class imbalance,79
"""gulf pressure""",inlet pressure,79
"""sedate conveyance""",drug delivery,79
"""globe Health Organization""",World Health Organization,79
"""yield photograph""",output image,79
"""pre-managing""",pre-processing,79
"""laptop algorithms""",machine algorithms,79
"""radiation proficiency""",radiation efficiency,79
"""world solitary""",world unique,79
"""support vector device""",support vector machine (SVM),79
"""cutting-edge execution""",state-of-the-art performance,79
"""brilliant sensors""",smart sensors,79
"""Ground-Verify""",Ground-truth,79
"""totally related layer""",fully-connected layer (neural network),78
"""repetitive neural organizations""",recurrent neural networks,78
"""separating highlight"" NOT specular",distance feature (?),78
"""force PSA""",Momentum PSA (MPSA),78
"""picture pre-handling""",picture pre-processing,78
"""outwardly weakened""",visually impaired,78
"""content-to-discourse""",text-to-speech,78
"""worldwide diary""",International Journal,78
"""conceals layers""",hidden layers,78
"""pooling stratum""",pooling layer (in a neural network),78
"""Parkinson's malady""",Parkinson's disease,77
"""leftover vitality""",remaining energy,77
"""restorative experts""",medical experts,77
"""dry hack""",dry cough,77
"""resistance framework"" AND ""immune system""",immune system,77
"""Gaussian blend model""",Gaussian mixture model,77
"""proposal motor""",recommendation engine,77
"""Gaussian clamor""",Gaussian noise,77
"""emotion popularity""",emotion recognition,77
"""biometric highlight""",biometric feature,77
"""optical character acknowledgment""",Optical Character Recognition (OCR),77
"""elliptic bend cryptography""",elliptic-curve cryptography (ECC),77
"""shrewd vehicle""",smart vehicle,76
"""keen urban area""",smart city,76
"""talk signal"" AND ""speech signal""",speech signal,76
"""genuine world dataset""",real-world dataset,76
"""pass-over charge""",miss rate,76
"""wireless sensor system (WSN)""",wireless sensor network,76
"""data board"" AND ""dashboard""",dashboard,76
"""radio repeat""",radio frequency,76
"""reactant action""",catalytic activity,76
"""passionate condition""",emotional condition,76
"""decidedly charged""",positively charged,76
"""highlight extractors""",feature extractors,76
"""dissolvable chromatographic""~20",solvent,76
"""savvy libraries""",knowledge databases,75
"""preparation informational index""",training dataset,75
"""attractive stirrer"" NOT ""repulsive""",magnetic stirrer,75
"""peculiarity discovery""",anomaly detection,75
"""warmth transmission""",heat transfer,75
"""artificial brain network""",artificial neural network,75
"""verification of work"" AND ""blockchain""",proof of work,75
"""creature well-being""",animal health,75
"""man-made thinking""",artificial intelligence,75
"""made sense of change""",Explained Variance,75
"""commotion decrease""",noise reduction,75
"""human movement acknowledgment""",human activity recognition,75
"""engine neuron""",motor neuron,75
"""phantom highlight""",spectral features,75
"""selection bush""",decision tree,75
"""concoction properties""",chemical properties,75
"""exactness, accuracy, review, and F1-score""","precision, accuracy, recall, and F1-score",75
"""haze registering""",fog/mist/cloud computing,75
"""lymphatic framework""",lymphatic system,74
"""circular flask""",round-bottom flask,74
"""malignant growth cell lines""",cancer cell lines,74
"""prescient system""",predictive system,74
"""hand motion acknowledgment""",hand gesture recognition,74
"""money related framework""",financial systems,74
"""kinematic thickness""",kinematic viscosity,74
"""shrewd contract""",smart contract,74
"""generative ill-disposed""",generative adversarial (network),74
"""area of enthusiasm""",region of interest,74
"""brilliant matrix""",smart grid,73
"""digital promoting""",digital marketing,73
"""translation calculate""",Probabilistic Interpretation,73
"""bullwhip impact""",bullwhip effect,73
"""dark matter expectation""",grey model prediction,73
"""mist figuring""",mist computing,73
"""Companion in Nursing""",Associate in Nursing,73
"""nitric corrosive""",nitric acid,73
"""outwardly debilitated""",visually impaired,73
"""jumping box"" AND ""bounding box""",bounding box,73
"""digital misconduct""",digital crime/cyber crime,73
"""man-in-the-middle (MitM) assault""",man-in-the-middle (MitM),72
"""deep perception networks""",Deep Belief Networks (DBN),72
"""CO2 effusion""",CO2 emission,72
"""manufactured neural system""",Backpropagation Neural Network (BPNN),72
"""convolutional neural arrange""",convolutional neural network,72
"""activity unit"" AND ""action units""",Action Units (AU),72
"""half breed model""",hybrid model,72
"""carboxylic corrosive""",carboxylic acid,72
"""profound training"" AND ""deep learning""",deep learning,72
"""transcribed digit""",handwritten digit (recognition),72
"""fundamental gathering""",functional groups,72
"""limited component strategy""",finite element method,72
"""cloud computing surroundings""",cloud computing environment,71
"""warm camera""",thermal camera,71
"""boisterous information""",noisy data,71
"""Bohr range""",Bohr radius,71
"""corridor impact"" AND (""magnetic"" OR ""voltage"" OR ""sensor"")",Hall effect,71
"""brilliant lattice""",smart network,71
"""a given gift""",a known present,71
"""atomic DNA""",nuclear DNA,71
"""cross-entropy misfortune""",cross-entropy loss,71
"""diminishing sugar""",reduce sugar,71
"""voter authenticity""",voter identification,71
"""mechanized thinking""",artificial intelligence,71
"""Rayleigh blurring""",Rayleigh fading,71
"""sign to clamor""",signal to noise,71
"""speaker segregation""",speaker segmentation,71
"""generative hostile networks""",generative adversarial networks,71
"""recall door""",forget gate (a part of LSTM),71
"""efflux bombs""",efflux pumps,71
"""spinal string""",spinal cord,71
"""fake brain networks""",artificial neural networks,71
"""clever house""",smart home,70
"""savvy meter""",smart meter,70
"""convulsive neural""",convolutional neural (network),70
"""magnetic reverberation""",magnetic resonance,70
"""porous carbon molecule""",porous carbon material,70
"""discourse union""",speech synthesis,70
"""image recuperation""",image recovery,70
"""planning set"" AND ""training set""",training set,70
"""shrewd transportation""",intelligent transportations,70
"""greasy liver""",fatty liver (disease),70
"""relapse tree""",regression tree,70
"""REM rest""",REM sleep,69
"""surgical intercession""",surgical intervention,69
"""more seasoned grown-ups""",older adults / seniors / elderly people?,69
"""exchange work"" AND ""transfer function""",transfer function,69
"""synthetic response"" AND (""be that as it"" OR ""on the off chance"")",chemical reaction,69
"""lung most cancer""",lung cancer,69
"""IEEE Exchanges on""",IEEE Transactions on,69
"""hindrance zone""",inhibition zone,69
"""vitality devoured""",energy use,69
"""summon line""",command line,69
"""information growth"" AND ""data augmentation""",data augmentation,69
"""portable specially appointed systems""",mobile ad hoc networks,69
"""electronic well-being record""",electronic health record (EHR),69
"""open mists""",open cloud,69
"""has turned out to be a standout""",was one of the key,69
"""male transcendence""",male predominance,69
"""exactness esteem""",accuracy value,69
"""fundamental sickness""",chronic infections,69
"""prescient framework""",predictive model,68
"""electrically directing""",electrically conducting,68
"""omit price"" AND ""miss rate""",miss rate,68
"""vicinity unit""",area unit,68
"""Global Gathering on""",International Conference on,68
"""logical motor""",analytical engine (Babbage's invention),68
"""pigeonholing classification""~10",classification,68
"""k esteem""",K value,68
"""Alzheimer's malady""",Alzheimer's disease,68
"""interference recognition"" AND ""intrusion detection""",intrusion detection,68
"""picture affirmation""",image recognition,68
"""mind growth"" AND ""brain tumor""",brain tumor,68
"""squander the board""",???,68
"""border situation"" AND ""boundary condition""",boundary condition,68
"""artificial neural organizations""",artificial neural networks,67
"""review esteem""",?? value,67
"""chest anxiety""",chest discomfort,67
"""thyroid sickness""",???,67
"""floor truth""",ground truth,67
"""commotion evacuation""",noise removal,67
"""cerebrum network""",neural network,67
"""Fourier remodel""",Fourier transform,67
"""environmental defilement""",environmental degradation,67
"""loads and predispositions"" NOT ""COVID""",weights and biases (neural network parameters),67
"""watery concentrate""",aqueous extract,67
"""brilliant contract""",smart contract,66
"""Gaussian combination models""",Gaussian Mixture Models (GMM),66
"""wise assembling""",intelligent manufacturing,66
"""fractional differential conditions""",Partial Differential Equation (PDE),66
"""administered machine learning""",supervised machine learning,66
"""data and communication innovation""",information and communications technology (ICT),66
"""keen contract""",smart contract,66
"""coaching information"" AND ""training data""",training data,66
"""threshold esteem""",threshold value,66
"""variant operator"" AND ""mutation operator""",mutation operator,66
"""shut circle framework""",closed-loop framework,66
"""regulated learning calculation""",supervised learning algorithm,66
"""preparing prepare""",training process,66
"""troublesome technologies""",disruptive technologies,66
"""fluffy C implies""",fuzzy C means,66
"""face reputation"" AND ""face recognition""",face recognition,66
"""integrated energy framework""",integrated energy system,66
"""intermittent neural system""",recurrent neural network,65
"""quickening voltage""",accelerating voltage,65
"""savvy lattice""",smart network,65
"""social database"" AND ""NoSQL""",relational database,65
"""order exactness"" AND ""classification accuracy""",classification accuracy,65
"""cross breed frameworks""",hybrid systems,65
"""wind propellers"" AND ""wind turbines""",wind turbines,65
"""self-organizing path""",self organizing map (SOM),65
"""ECG flag""",ECG signal,65
"""Naive mathematician""",Naïve Bayes,65
"""district of intrigue""",region of interest,65
"""professionals and cons""",pros and cons,65
"""facial milestone""",facial landmark,65
"""invulnerable cell""",immune cell,65
"""head part examination""",principal component analysis (PCA),64
"""bosom tumor""",breast cancer,64
"""respiratory disappointment""",respiratory failure,64
"""concoction response""",chemical reaction,64
"""mystery layer""",hidden layer,64
"""matrix hunt""",grid search,64
"""denial of carrier""",denial of service (DoS),64
"""expulsion effectiveness""",Removal effectiveness,64
"""Autumn Armyworm""",Fall armyworm,64
"""determination settlement""",???,64
"""way of life media""",culture media,64
"""delicacy, perfection, recall""","accuracy, perfection, recall",64
"""profound gaining""",deep learning,64
"""human-PC cooperation""",human-computer interaction (HCI),64
"""hearing misfortune""",hearing loss,64
"""pre-educated model""",pre-trained model,64
"""malignant assault""",malicious attack,63
"""banking quarter""",banking sector,63
"""gotten impressive consideration""",received considerable attention,63
"""resource bubble""",asset bubble,63
"""Nusselt numeral""",Nusselt number,63
"""grid hunt""",grid search,63
"""eigen esteems""",eigenvalues,63
"""drawn-out impacts""",???,63
"""slant investigation""",trend analysis,63
"""isolated into two gatherings""",separated into two groups,63
"""heart fee""",heart rate,63
"""tall temperature""",high temperature,63
"""evidence of stake""",proof of stake,63
"""warmth transport"" AND ""flow""",heat transfer,63
"""half-breed approach""",hybrid approach,63
"""regional convolutional"" AND ""recurrent convolutional""",recurrent convolutional (RCNN),63
"""self-ruling vehicles""",autonomous vehicles,62
"""luxurious equipment""",expensive equipment,62
"""acknowledgment pace""",recognition rate,62
"""slant examination""",sentiment analysis,62
"""system mastering strategies""",machine learning techniques,62
"""Radio Recurrence Recognizable proof""",Radio Frequency Identification (RFID),62
"""coronary corridor""",coronary artery,62
"""outspread premise work""",radial basis function,62
"""sort 2 diabetes""",type 2 diabetes,62
"""balance fixation""",Equilibrium concentration,62
"""as seeks after""",as follows,62
"""human-PC communications""",human-computer interaction (HCI),62
"""outwardly hindered""",visually impaired,62
"""coordinated non-cyclic chart""",directed acyclic graphs (DAGs),61
"""quick Fourier change""",Fast Fourier Transform,61
"""whole C"" AND ""total organic carbon""",Total organic carbon,61
"""speaker acknowledgment"" AND ""speaker recognition""",speaker recognition,61
"""enlistment engine""",induction motor,61
"""warm solace""",thermal comfort,61
"""Human-PC Interface""",Human-Computer Interface (HCI),61
"""AI draws near""","AI approaches (as in \""methods\"")",61
"""savvy card""",smart card,61
"""hyper-boundaries"" AND ""hyperparameters""",hyperparameters,61
"""spam sifting""",spam filtering,61
"""potassium dihydrogen sulfate""",potassium hydrogen sulfate,61
"""foundation clamor""",background noise,61
"""penmanship acknowledgment""",handwriting acknowledgement,61
"""refractive list""",refractive index,61
"""angle plummet""",gradient descent,61
"""vitality market""",energy market,61
"""half and half framework""",hybrid system,60
"""commotion expulsion""",noise removal,60
"""ozone depleting substance emanations""",greenhouse gas emissions,60
"""Markov arbitrary""",Markov random fields,60
"""convolution neural community""",convolutional neural network,60
"""cell reasonability""",cell sensitivity,60
"""straight polarization""",linear polarization,60
"""dispersing parameter""",scattering parameter,60
"""neighborhood binary pattern""",Local Neighbor Binary Pattern (LNBP),60
"""enactment energy""",Activation energy,60
"""concurrent localization and mapping""",Simultaneous Localization and Mapping (SLAM),60
"""sound flag""",sound signal,60
"""smart cities and networks""",smart cities and communities,60
"""dormant environment""",inert atmosphere,60
"""back propagation neural system""",back propagation neural network,60
"""decision bushes""",decision trees,60
"""wild issue""",important issue,60
"""solitary variable"" AND ""independent variable""",independent variable,60
"""mRNA articulation""",mRNA expression,60
"""convolutional squares""",convolutional block,60
"""parallel blend""",binary mixture,59
"""Eckert quantity""",Eckert number,59
"""clamour decrease""",noise reduction,59
"""grouping errand""",classification task,59
"""antagonistic assaults""",adversarial attacks,59
"""radiomic highlights""",radiomic features,59
"""denial of provider""",denial of service (DoS) (attack),59
"""savvy machines""",smart devices,59
"""intermittent nets""",recurrent [neural] networks,59
"""restricting locales""",binding sites,59
"""impeding antibodies""",inhibitory antibodies,59
"""gum ailments""",gum disease,59
"""word blunders""","word errors (as in \""word error rate\"")",59
"""bleaching equation""",bleaching kinetic,59
"""R2 esteem""",R2 value,59
"""PC based knowledge""",Computer-based knowledge,59
"""money-related emergency""",financial crisis,59
"""intermittent neural organizations""",recurrent neural networks,59
"""networks molecules"" AND ""crosslinked polymers""",crosslinked polymers,59
"""fever, hack""","fever, cough",59
"""warmth map""",heat map,58
"""Gaussian conveyance""",Gaussian distribution,58
"""natural liquids"" AND ""biological fluid""",biological fluid,58
"""far from customary""",rare,58
"""Fourier rework""",Fourier transform,58
"""feeling dictionary""",sentiment dictionary,58
"""sans hands""",hands-free,58
"""faulty neural network""",convolutional neural network (CNN),58
"""motor vitality""",kinetic energy,58
"""secrecy frameworks""",stealth systems,58
"""herbal choice""",natural selection,58
"""Partial Component Analysis (PCA)""",Principal Component Analysis (PCA),58
"""currently a-days""",nowadays,58
"""world wellbeing organization""",World Health Organization (WHO),58
"""stochastic inclination""",stochastic gradient,58
"""vitality meter""",energy meter,57
"""hereditarily adjusted""",genetically modified,57
"""folic corrosive""",folic acid,57
"""organization assault""",network attack,57
"""misleading positive rate""",false positive rate,57
"""Most extreme Entropy""",Maximum entropy (ME),57
"""vitality move""",energy transfer,57
"""halfway differential""",partial differential,57
"""mind cellular""",???,57
"""manufactured discourse""",synthesized speech,57
"""speaker subordinate""",speaker-dependent,57
"""uncooked information""",raw data,57
"""half and half methodology""",hybrid approach,57
"""effluent of CO2""",emission of CO2,57
"""passionate mood""",emotional state,57
"""system learning (ML)""",machine learning (ML),57
"""organic corrosive""",organic acid,57
"""superior visualization"" AND ""better detection""",better detection,57
"""feed-forward neural organization""",feed forward neural network,57
"""establishment work"" AND ""neural""",activation function,57
"""clothes airers""",???,57
"""Crohn's infection""",Crohn's disease,56
"""more established grown-ups""",older adults / seniors / elderly people?,56
"""test portraits""",picture pre-processing,56
"""initiation capacity"" AND ""activation function""",activation function,56
"""to settle the nanoparticle""",stabilize the nanoparticle,56
"""kind injuries""",benign injuries,56
"""locale of intrigue""",region of interest,56
"""separate the highlights"" NOT specular",extract the features,56
"""shrouded units""",hidden units,56
"""curvelet change""",curvelet transformation,56
"""Choroid Neovascularisation""",Choroidal Neovascularisation (CNV),56
"""head part investigation""",principal component analysis (PCA),56
"""talk update""",speech enhancement,56
"""discourse flag""",speech signal,56
"""brilliant cultivating""",smart agriculture,56
"""design acknowledgment pattern recognition""~20",pattern recognition,56
"""convective neural network""",convolutional neural network (CNN),56
"""intermittent organization""",recurrent network,56
"""intense angle""",acute angle,55
"""Multi-layer reticle""",Multi-layer resist (MLR) ?,55
"""principal component examination""",principal component analysis,55
"""group head (CH)""",cluster head,55
"""web scratching""",web scraping,55
"""region under the bend""",area under the curve (AUC),55
"""inclination plummet""",gradient descent,55
"""subterranean insect state""",ant colony,55
"""Man-made Reasoning (AI)""",Artificial Intelligence (AI),55
"""elective vitality""",renewable energy,55
"""affectability, explicitness""","sensitivity, specificity",55
"""real-time statistics analysis""",real-time data analysis,55
"""R2 worth""",R2 value,55
"""median channel"" AND ""median filter""",median filter,55
"""respiratory plot""",respiratory tract,55
"""Gabor change""",Gabor transform,55
"""worldwide positioning system""",Global Positioning System (GPS),55
"""Adam enhancer""",Adam optimizer,55
"""arbitrary strolls""",random walks,55
"""morphological administrator""",morphological operator,54
"""generative opposed network""",generative adversarial network,54
"""half breed framework""",hybrid system,54
"""direct SVM"" AND ""linear SVM""",linear SVM,54
"""computational liquid elements""",computational fluid dynamics,54
